model,class,metric,value
knn_ensemble,1,Precision,0.6764705882352942
knn_ensemble,2,Precision,0.4189189189189189
knn_ensemble,3,Precision,0.64
pca_blue,1,Precision,0.7058823529411765
pca_blue,2,Precision,0.6486486486486487
pca_blue,3,Precision,0.5483870967741935
cnn_resnet,1,Precision,0.8541666666666666
cnn_resnet,2,Precision,0.8604651162790697
cnn_resnet,3,Precision,0.8809523809523809
knn_ensemble,1,Recall,0.5227272727272727
knn_ensemble,2,Recall,0.7045454545454546
knn_ensemble,3,Recall,0.35555555555555557
pca_blue,1,Recall,0.5454545454545454
pca_blue,2,Recall,0.5454545454545454
pca_blue,3,Recall,0.7555555555555555
cnn_resnet,1,Recall,0.9318181818181818
cnn_resnet,2,Recall,0.8409090909090909
cnn_resnet,3,Recall,0.8222222222222222
knn_ensemble,1,F1,0.5897435897435898
knn_ensemble,2,F1,0.5254237288135594
knn_ensemble,3,F1,0.4571428571428572
pca_blue,1,F1,0.6153846153846153
pca_blue,2,F1,0.5925925925925926
pca_blue,3,F1,0.6355140186915887
cnn_resnet,1,F1,0.8913043478260869
cnn_resnet,2,F1,0.8505747126436781
cnn_resnet,3,F1,0.8505747126436781
